城市,岗位,薪酬,技能,工作经验,学历,职位类型,人数,公司名称,公司类型,公司规模,公司行业,地址,职位更新日期
北京,硬件部经理（嵌入式方向）,2-3万,"['机器人', '嵌入式硬件开发']",3-5年,本科,全职,1,北京眸视科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/3/14
北京,光学工程师,2-4万,"['光模块', '镜头']",3-5年,本科,全职,1,北京视线科技有限公司,民营,20-99人,人工智能,北京·朝阳,2025/3/17
北京,ai算法工程师,1.5-2.5万,"['自然语言处理', 'Transformer', 'Python', 'Java', 'PyTorch', 'TensorFlow', '图像算法', '语音识别', '大模型算法', 'GPT', '机器视觉', '知识图谱']",3-5年,本科,全职,1,中易云(北京)物联网科技集团有限公司,民营,20-99人,物联网,北京·通州·台湖,2025/3/15
北京,电话销售专员,6000-12000元,"['企业客户', '政府客户', '院校客户']",1-3年,大专,全职,1,中创世技科技推广(北京)有限公司,社会团体,20-99人,社团/组织/社会保障,北京·海淀·海淀街道,2025/3/27
北京,DSP图像优化工程师,3-5万,"['DSP', '算法', '图像优化']",3-5年,本科,全职,1,北京视线科技有限公司,民营,20-99人,人工智能,北京·朝阳,2025/3/20
北京,技术副总监/研发经理,6-9万,['机器人'],10年以上,硕士,全职,1,湖南凯之成智能装备有限公司,民营,20-99人,专用设备制造,北京·海淀·学院路,2024/8/29
北京,多模态智能算法工程师（大模型研究部）,1.5-3万,,经验不限,硕士,全职,1,北京(海淀)大数据先进技术研究院(北京大数据先进技术研究院),事业单位,100-299人,云计算/大数据,北京·海淀,2025/2/12
北京,算法支持工程师,2-2.5万,['GPU'],3-5年,本科,全职,1,嘉合通盈(北京)科技产业发展有限公司,民营,20-99人,人工智能,北京·朝阳,2025/1/6
北京,非标自动化部门经理,1.3-2.6万,"['机械设计', '非标件', '传动系统', '电气系统', '伺服系统', '非标设备', '输送设备', '检测设备']",5-10年,本科,全职,1,北京玖瑞科技有限公司,民营,20-99人,人工智能,北京·海淀·上地,2025/3/13
北京,电力算法工程师,2-3万,"['电力', '继保']",1-3年,本科,全职,1,中腾微网(北京)科技有限公司,民营,20-99人,新能源,北京·丰台·看丹,2025/3/14
北京,算法总监/机器学习,4-6万,"['PyTorch', 'TensorFlow', 'Python', 'C++', 'Java', '算法研究', '深度学习', '机器学习']",10年以上,本科,全职,1,北京兰木达技术有限公司,股份制企业,100-299人,电力/水利/热力/燃气,北京·朝阳·奥运村,2025/2/14
北京,研发助理工程师/结构助理工程师,1-2万,"['研发', '设计', '制图设计', '结构设计', 'SolidWorks', 'AutoCAD']",1-3年,本科,全职,1,江苏虹湾威鹏信息技术有限公司,合资,20-99人,人工智能,北京·海淀·清河,2025/3/25
北京,薪酬绩效专员,6000-12000元,['人力资源管理员'],3-5年,本科,全职,1,北京华心维联网络科技有限公司,民营,500-999人,互联网,北京·朝阳·高碑店,2024/12/26
北京,搜索召回算法工程师,3-6万,['搜索算法'],3-5年,硕士,全职,2,苏州人瑞普惠人力资源服务有限公司,上市公司,500-999人,互联网,北京·朝阳·望京,2025/3/13
北京,市场总监,2-2.5万,"['市场推广', '市场策划', '品牌管理', '养老行业背景']",10年以上,本科,全职,1,森丽康科技(北京)有限公司,民营,20人以下,人工智能,北京·丰台·看丹,2025/3/5
北京,机器人视觉研发工程师,300-500元/天,"['可转正', '实习证明', '图像识别产品', '机器人', 'Transformer', 'PyTorch', 'OpenCV', 'Python', 'C++']",无经验,本科,实习,1,北京久仪科技股份有限公司,民营,20-99人,仪器仪表制造,北京·昌平,2025/3/27
北京,AI软件项目经理,1.8-2.5万·16薪,"['软件项目', '系统集成项目']",3-5年,硕士,全职,1,智平方(深圳)科技有限公司,民营,20-99人,人工智能,北京·朝阳·酒仙桥,2024/12/16
北京,无人机-视觉三维重建算法专家,面议,,1-3年,硕士,全职,1,北京三快在线科技有限公司,上市公司,1000-9999人,互联网,北京,2024/8/15
北京,运营专员,4000-8000元·13薪,"['新媒体运营', '内容运营', '用户运营', '抖音', '快手', '小红书', 'AIGC']",3-5年,本科,全职,1,北京中天智星人工智能科技有限公司,民营,20-99人,人工智能,北京·朝阳·呼家楼,2025/2/15
