city,position,salary_raw,skills,experience_raw,education_raw,job_type,headcount,company_address,updated_date,salary_avg,salary_outlier_flag,education_clean,experience_years,company_id
北京,销售经理（软件人工智能）,7000-14000元,"['企业客户', '政府客户', '院校客户', '面销/陌拜', '网络销售']",1-3年,大专,全职,1,北京·海淀·马连洼,2025/2/13,10500.0,False,大专,2.0,26499
北京,人工智能AI-销售,6000-12000元,,1-3年,大专,全职,3,北京·石景山·苹果园,2024/6/20,9000.0,False,大专,2.0,26500
北京,大模型应用算法工程师,1.5-2.5万,"['图像算法', '大模型算法', '自然语言处理', '机器视觉', 'Python', 'CLIP', '机器学习', 'K-means算法', 'GPT', 'XLNet', 'PyTorch', 'MXNet']",经验不限,本科,全职,1,北京·海淀·北下关,2025/2/14,20000.0,False,本科,,26457
北京,机器人助理工程师,1-1.8万,"['机械装备', '电子焊接', '线束', '库存管理', '测试']",1-3年,大专,全职,1,北京·海淀·上地,2025/3/28,14000.0,False,大专,2.0,26501
北京,人工智能算法工程师,1.5-3万,"['图像算法', '深度学习', '机器学习']",经验不限,博士,全职,1,北京·朝阳·亚运村,2024/6/17,22500.0,False,博士,,26502
北京,人工智能、大模型招聘（实习生）,230-250元/天,,无经验,硕士,实习,1,北京·昌平·小汤山,2025/3/28,5220.0,False,硕士,0.0,26503
北京,机器视觉售前方案工程师,1-2万,"['机器人', '图像识别产品']",1-3年,本科,全职,4,北京·海淀·上地,2025/3/13,15000.0,False,本科,2.0,26504
北京,人工智能专家,2.3-3.5万,,3-5年,学历不限,全职,2,北京·海淀·羊坊店,2025/2/12,29000.0,False,学历不限,4.0,26497
北京,ai人工智能算法工程师,2.5-3万,['大模型算法'],经验不限,本科,全职,2,北京·丰台·看丹,2025/3/5,27500.0,False,本科,,26452
北京,人工智能工程师--北京,1-2万,"['大模型', '数字虚拟人', '智能机器人']",1-3年,本科,全职,3,北京·大兴·荣华街道,2025/2/14,15000.0,False,本科,2.0,26505
北京,人工智能工程师,1-2万,['Python'],1-3年,本科,全职,1,北京·朝阳·酒仙桥,2025/3/28,15000.0,False,本科,2.0,26506
北京,人工智能工程师-2025025,1.6-2.2万,"['PyTorch', 'TensorFlow', '大模型算法', '强化学习 ', 'GPT', '自然语言处理', '知识图谱', '搜索/推荐算法', 'Python', 'Java']",3-5年,本科,全职,1,北京·西城·西长安街,2025/3/26,19000.0,False,本科,4.0,26507
北京,大模型开发工程师,1.5-2万·16薪,"['大模型算法', '自然语言处理', 'Python']",3-5年,本科,全职,1,北京·朝阳·香河园,2025/3/17,17500.0,False,本科,4.0,26508
北京,nlp算法工程师-北京D,2.3-4万·14薪,,3-5年,本科,全职,2,北京·海淀·上地,2024/11/11,31500.0,False,本科,4.0,26509
北京,人工智能课程教师,7000-14000元,"['大学教师', '课程教授', 'Python', '人工智能', '大数据', '计算机科学与技术', '数据科学与大数据技术']",经验不限,硕士,全职,1,北京·大兴·庞各庄,2025/3/10,10500.0,False,硕士,,26510
北京,AI销售经理,1-1.5万·20薪,"['企业客户', '集成', '智慧', '解决方案']",1-3年,本科,全职,1,北京·海淀·花园路,2024/12/10,12500.0,False,本科,2.0,26511
北京,市场专员,8000-15000元,"['市场推广', '市场策划', '市场营销', '沟通能力强，市场拓展经验丰富']",3-5年,本科,全职,8,北京·海淀·海淀街道,2025/3/28,11500.0,False,本科,4.0,26512
北京,人工智能研究分析岗,面议,['搜索/推荐算法'],3-5年,硕士,全职,1,北京·西城·新街口,2025/3/31,,False,硕士,4.0,26513
北京,人工智能算法工程师,2-3万,"['Python', 'Java']",1-3年,本科,全职,1,北京·海淀·北下关,2025/3/11,25000.0,False,本科,2.0,26514
